i,dt_segment_s,dt_residual_s_per_s,cumulative_dt_s
1,-9.854775334778e-08,-9.854769101706161e-09,-9.854775334778e-08
2,-9.854732406044426e-08,-9.854695710382692e-09,-1.9709507740822427e-07
3,-9.854722890870405e-08,-9.854750071358118e-09,-2.956423063169283e-07
4,-9.854824293925749e-08,-9.854898516493381e-09,-3.941905492561858e-07
5,-9.854983614276918e-08,-9.855068712060455e-09,-4.92740385398955e-07
6,-9.855157365807359e-08,-9.855246019554265e-09,-5.912919590570285e-07
7,-9.855320411162337e-08,-9.855394802770406e-09,-6.898451631686519e-07
8,-9.85540959463277e-08,-9.855424386495134e-09,-7.883992591149795e-07
9,-9.85542672489678e-08,-9.855429063298424e-09,-8.869535263639473e-07
10,-9.855434996088902e-08,-9.855440928879381e-09,-9.855078763248364e-07
11,-9.85544229480682e-08,-9.855443660734258e-09,-1.0840622992729045e-06
12,-9.855443938602555e-08,-9.855444216470854e-09,-1.18261673865893e-06
13,-9.855447141002981e-08,-9.855450065535109e-09,-1.28117121006896e-06
14,-9.855437218668394e-08,-9.85542437180168e-09,-1.379725582255644e-06
15,-9.855374014413277e-08,-9.855323657024875e-09,-1.4782793223997767e-06
16,-9.855252177154712e-08,-9.85518069728455e-09,-1.5768318441713238e-06
17,-9.855077179276023e-08,-9.854973661267496e-09,-1.675382615964084e-06
18,-9.854885170450306e-08,-9.85479667963312e-09,-1.773931467668587e-06
19,-9.854772004232553e-08,-9.854747328831984e-09,-1.8724791877109125e-06
20,-9.854744145566688e-08,-9.85474096230139e-09,-1.9710266291665794e-06
21,-9.854691375148333e-08,-9.854641787995276e-09,-2.0695735429180626e-06
22,-9.854622736294708e-08,-9.85460368459414e-09,-2.1681197702810095e-06
23,-9.854616943737662e-08,-9.854630202881185e-09,-2.266665939718386e-06
24,-9.854640392995568e-08,-9.85465058310995e-09,-2.3652123436483417e-06
25,-9.854654835284273e-08,-9.854659087458594e-09,-2.4637588920011846e-06
26,-9.85465028840917e-08,-9.854641489359747e-09,-2.5623053948852764e-06
27,-9.854651181941042e-08,-9.854660874522337e-09,-2.660851906704687e-06
28,-9.854686934146716e-08,-9.854712993771097e-09,-2.759398776046154e-06
29,-9.85472921081431e-08,-9.854745427857518e-09,-2.8579460681542972e-06
30,-9.85474054091126e-08,-9.854735653965003e-09,-2.95649347356341e-06
31,-9.854727443327496e-08,-9.85471923268999e-09,-3.0550407479966847e-06
32,-9.854714242846429e-08,-9.854709253002866e-09,-3.153587890425149e-06
33,-9.854705742084215e-08,-9.854702231165562e-09,-3.252134947845991e-06
34,-9.854684319404221e-08,-9.85466640764288e-09,-3.3506817910400334e-06
35,-9.854651353163504e-08,-9.85463629868413e-09,-3.4492283045716686e-06
36,-9.854629517761826e-08,-9.854622736839518e-09,-3.547774599749287e-06
37,-9.854622706344146e-08,-9.854622675848776e-09,-3.6463208268127286e-06
38,-9.85461140062006e-08,-9.854600125391344e-09,-3.744866940818929e-06
39,-9.854544193836628e-08,-9.854488262281914e-09,-3.8434123827572955e-06
40,-9.854430671018777e-08,-9.854373079755643e-09,-3.941956689467483e-06
41,-9.854334644787481e-08,-9.854296209819319e-09,-4.040500035915358e-06
42,-9.854289889889452e-08,-9.854283569959584e-09,-4.1390429348142525e-06
43,-9.85427367971592e-08,-9.854263789472254e-09,-4.237585671611411e-06
44,-9.854250263244384e-08,-9.854236737016515e-09,-4.3361281742438555e-06
