body,phi_J_per_kg,r_m,phi_shifted
sun,-190769664366.82477,695700000.0,0.0
mercury,-2033530411.0934217,65265045841.45254,188736133955.73135
venus,-1233170874.8095732,107623735048.47366,189536493492.0152
earth,-892172872.4845593,148758676253.40393,189877491494.3402
mars,-587102964.4107324,226056524230.3073,190182561402.41403
jupiter,-171027580.41034576,776006157495.5873,190598636786.41443
saturn,-93000407.60230054,1427073912057.9612,190676663959.22247
uranus,-45491054.23367474,2917462734942.625,190724173312.5911
neptune,-29684540.522675704,4470962095526.383,190739979826.3021
