body,phi_J_per_kg,r_m,phi_shifted
sun,-190769664366.82477,695700000.0,0.0
mercury,-2018305247.6804187,65757375229.80212,188751359119.14435
venus,-1233290567.9002233,107613289969.4221,189536373798.92453
earth,-891962286.6658548,148793797096.62402,189877702080.1589
mars,-586670619.2895064,226223115895.4748,190182993747.53525
jupiter,-171037811.88426268,775959736843.4968,190598626554.9405
saturn,-92997847.73475565,1427113193829.3206,190676666519.09003
uranus,-45490706.096933454,2917485062051.9736,190724173660.72784
neptune,-29684518.746014964,4470965375438.904,190739979848.07877
