i,dt_segment_s,dt_residual_s_per_s,cumulative_dt_s
1,-9.72488478006428e-08,-9.724882559449414e-09,-9.72488478006428e-08
2,-9.724827255961984e-08,-9.724771952474552e-09,-1.9449712036026263e-07
3,-9.72476382401307e-08,-9.724755695551589e-09,-2.917447586003933e-07
4,-9.724746948822572e-08,-9.724738202093556e-09,-3.88992228088619e-07
5,-9.724743106897532e-08,-9.724748011701507e-09,-4.862396591575944e-07
6,-9.724756899901847e-08,-9.724765788102186e-09,-5.834872281566128e-07
7,-9.72481012744126e-08,-9.724854466780337e-09,-6.807353294310255e-07
8,-9.724901623146066e-08,-9.724948779511798e-09,-7.779843456624861e-07
9,-9.725014806635809e-08,-9.725080833759822e-09,-8.752344937288442e-07
10,-9.725155259307215e-08,-9.725229684854609e-09,-9.724860463219164e-07
11,-9.725304383013935e-08,-9.725379081173263e-09,-1.0697390901520558e-06
12,-9.725433121587518e-08,-9.725487162001774e-09,-1.166993421367931e-06
13,-9.725554374354464e-08,-9.725621586707154e-09,-1.2642489651114756e-06
14,-9.725658906652337e-08,-9.725696226597524e-09,-1.361505554177999e-06
15,-9.725713785536955e-08,-9.725731344476387e-09,-1.4587626920333685e-06
16,-9.725734373773536e-08,-9.725737403070683e-09,-1.5560200357711038e-06
17,-9.725730914005027e-08,-9.72572442493937e-09,-1.653277344911154e-06
18,-9.725723972241462e-08,-9.725723519543555e-09,-1.7505345846335687e-06
19,-9.725733394905821e-08,-9.725743270268088e-09,-1.847791918582627e-06
20,-9.725748368454332e-08,-9.725753466640577e-09,-1.94504940226717e-06
21,-9.725749058197012e-08,-9.725744649753447e-09,-2.0423068928491403e-06
22,-9.725736086346751e-08,-9.725727522940056e-09,-2.1395642537126076e-06
23,-9.725724936192198e-08,-9.72572234944434e-09,-2.2368215030745297e-06
24,-9.72572221249212e-08,-9.725722075539902e-09,-2.334078725199451e-06
25,-9.725726845027644e-08,-9.725731614515386e-09,-2.431335993649727e-06
26,-9.725732554511027e-08,-9.725733494506665e-09,-2.5285933191948373e-06
27,-9.725710136904691e-08,-9.725686779302718e-09,-2.625850420563884e-06
28,-9.725611836137266e-08,-9.725536892971812e-09,-2.723106538925257e-06
29,-9.725410181017872e-08,-9.725283469063932e-09,-2.8203606407354356e-06
30,-9.725192403327117e-08,-9.725101337590303e-09,-2.9176125647687066e-06
31,-9.725005599797275e-08,-9.724909862004246e-09,-3.0148626207666792e-06
32,-9.72482348138574e-08,-9.724737100767235e-09,-3.112110855580537e-06
33,-9.724700676967472e-08,-9.724664253167709e-09,-3.2093578623502117e-06
34,-9.724661053623284e-08,-9.72465785407886e-09,-3.3066044728864445e-06
35,-9.724662953603108e-08,-9.724668053127357e-09,-3.4038511024224755e-06
36,-9.724657907588791e-08,-9.724647762050227e-09,-3.5010976814983635e-06
37,-9.724653836547237e-08,-9.724659911044244e-09,-3.598344219863836e-06
38,-9.724652199307201e-08,-9.724644487570156e-09,-3.695590741856908e-06
39,-9.724648389854171e-08,-9.724652292138187e-09,-3.79283722575545e-06
40,-9.724651495043372e-08,-9.724650697948558e-09,-3.8900837407058835e-06
41,-9.72466980776881e-08,-9.724688917589062e-09,-3.987330438783572e-06
42,-9.724681637745018e-08,-9.724674357900973e-09,-4.084577255161022e-06
43,-9.724670017664948e-08,-9.724665677428925e-09,-4.1818239553376715e-06
44,-9.724652283280278e-08,-9.724638889131628e-09,-4.279070478170474e-06
45,-9.724634980656512e-08,-9.724631072181399e-09,-4.376316827977039e-06
46,-9.724628439477628e-08,-9.724625806773859e-09,-4.473563112371815e-06
47,-9.724615789163705e-08,-9.724605771553551e-09,-4.570809270263452e-06
48,-9.724605434236978e-08,-9.724605096920407e-09,-4.668055324605822e-06
49,-9.724594183548862e-08,-9.724583270177319e-09,-4.765301266441311e-06
50,-9.724576050956141e-08,-9.724568831734965e-09,-4.862547026950872e-06
51,-9.72456573524949e-08,-9.724562638764013e-09,-4.959792684303367e-06
52,-9.724554190954121e-08,-9.724545743144229e-09,-5.057038226212908e-06
53,-9.724545232315259e-08,-9.724544721486293e-09,-5.15428367853606e-06
54,-9.724532495773714e-08,-9.724520270061134e-09,-5.251529003493797e-06
55,-9.724478684845227e-08,-9.724437099629322e-09,-5.348773790342249e-06
56,-9.724397264790093e-08,-9.724357429950863e-09,-5.44601776299015e-06
57,-9.724339787167674e-08,-9.724322144384482e-09,-5.543261160861827e-06
58,-9.724309591265197e-08,-9.724297038145912e-09,-5.6405042567744785e-06
59,-9.724288785773331e-08,-9.724280533400749e-09,-5.737747144632212e-06
60,-9.724273177613997e-08,-9.724265821827244e-09,-5.834989876408352e-06
61,-9.724260318186518e-08,-9.724254814545796e-09,-5.932232479590217e-06
62,-9.724249336134082e-08,-9.724243857722369e-09,-6.0294749729515575e-06
63,-9.724239322439924e-08,-9.724234787157479e-09,-6.1267173661759565e-06
64,-9.724232916093801e-08,-9.724231045030123e-09,-6.223959695336895e-06
65,-9.724228770700842e-08,-9.724226496371562e-09,-6.321201983043903e-06
66,-9.724237498197682e-08,-9.724248500023801e-09,-6.41844435802588e-06
67,-9.724304273852898e-08,-9.724360047681995e-09,-6.5156874007644084e-06
68,-9.724459638725757e-08,-9.724559229769518e-09,-6.612931997151666e-06
69,-9.724616391821212e-08,-9.724673553872903e-09,-6.710178161069878e-06
70,-9.724692888272888e-08,-9.72471222267287e-09,-6.807425089952607e-06
71,-9.724716153742275e-08,-9.72472008481168e-09,-6.90467225149003e-06
72,-9.724726490304957e-08,-9.724732895798232e-09,-7.00191951639308e-06
73,-9.724737841028041e-08,-9.724742786257852e-09,-7.09916689480336e-06
74,-9.724751401271972e-08,-9.72476001628609e-09,-7.19641440881608e-06
75,-9.724757037104421e-08,-9.724754057922752e-09,-7.293661979187124e-06
76,-9.724746068299329e-08,-9.724738078675904e-09,-7.390909439870118e-06
77,-9.724734201140005e-08,-9.724730323604103e-09,-7.488156781881518e-06
78,-9.724725679615131e-08,-9.72472103562616e-09,-7.585404038677669e-06
79,-9.72471829752673e-08,-9.724715559427304e-09,-7.682651221652936e-06
80,-9.724714714507893e-08,-9.724713869588486e-09,-7.779898368798016e-06
81,-9.72471350817155e-08,-9.724713146754616e-09,-7.877145503879732e-06
82,-9.724718326704518e-08,-9.72472350665442e-09,-7.974392687146777e-06
83,-9.72472171058505e-08,-9.724719914515679e-09,-8.071639904252627e-06
84,-9.72471139903443e-08,-9.724702883553182e-09,-8.168887018242972e-06
85,-9.724700111886143e-08,-9.724697340219105e-09,-8.266134019361833e-06
86,-9.724693472028344e-08,-9.724689603837582e-09,-8.363380954082117e-06
87,-9.724685446468029e-08,-9.724681289098476e-09,-8.460627808546798e-06
88,-9.724678813799659e-08,-9.724676338500842e-09,-8.557874596684794e-06
89,-9.724676499395239e-08,-9.724676660289635e-09,-8.655121361678747e-06
90,-9.724684296142576e-08,-9.724691931995517e-09,-8.752368204640174e-06
91,-9.724678036264431e-08,-9.724664140533345e-09,-8.849614985002818e-06
92,-9.72466069515426e-08,-9.724657249775172e-09,-8.94686159195436e-06
93,-9.724653275148699e-08,-9.724649300522222e-09,-9.044108124705846e-06
94,-9.724647835463251e-08,-9.724646370404281e-09,-9.141354603060478e-06
95,-9.7246464506577e-08,-9.724646530911118e-09,-9.238601067567055e-06
96,-9.724646119566022e-08,-9.724645708220927e-09,-9.335847528762716e-06
97,-9.724651633142961e-08,-9.724657558064995e-09,-9.433094045094145e-06
98,-9.724653343819571e-08,-9.72464912957415e-09,-9.530340578532341e-06
99,-9.724642335308557e-08,-9.724635541042967e-09,-9.627587001885426e-06
100,-9.724633268289937e-08,-9.724630995536907e-09,-9.724833334568325e-06
101,-9.724629156161796e-08,-9.724627316786687e-09,-9.822079626129942e-06
102,-9.724625096296733e-08,-9.72462287580678e-09,-9.91932587709291e-06
103,-9.724620896047972e-08,-9.724618916289165e-09,-1.0016572086053389e-05
104,-9.72462590473333e-08,-9.724632893177495e-09,-1.0113818345100722e-05
105,-9.724631790498539e-08,-9.724630687819583e-09,-1.0211064663005708e-05
106,-9.724626560905796e-08,-9.724622433992008e-09,-1.0308310928614766e-05
107,-9.72462151822085e-08,-9.72462060244969e-09,-1.0405557143796975e-05
108,-9.724618656664994e-08,-9.724616710880298e-09,-1.0502803330363624e-05
109,-9.724614120183914e-08,-9.72461152948753e-09,-1.0600049471565464e-05
110,-9.724606395276741e-08,-9.724601261065952e-09,-1.069729553551823e-05
111,-9.724570132162575e-08,-9.7245390032592e-09,-1.0794541236839857e-05
112,-9.724438686774918e-08,-9.724338370290634e-09,-1.0891785623707605e-05
113,-9.724257944686573e-08,-9.724177519082511e-09,-1.098902820315447e-05
114,-9.724106610178296e-08,-9.724035701274081e-09,-1.1086269269256252e-05
115,-9.72399974783166e-08,-9.723963794389237e-09,-1.1183509266734568e-05
116,-9.72394814913212e-08,-9.723932503875e-09,-1.128074874822589e-05
117,-9.723926807728941e-08,-9.72392111158288e-09,-1.137798801630318e-05
118,-9.723919033744095e-08,-9.723916955905306e-09,-1.147522720664062e-05
119,-9.723916677838256e-08,-9.723916399771205e-09,-1.1572466373419003e-05
120,-9.723915854462964e-08,-9.723915309154723e-09,-1.1669705531963633e-05
121,-9.723913606046201e-08,-9.72391190293768e-09,-1.1766944668024095e-05
122,-9.72390901466057e-08,-9.723906126383461e-09,-1.1864183758170701e-05
123,-9.723903255677487e-08,-9.723900384971513e-09,-1.1961422790727476e-05
124,-9.723897910392041e-08,-9.72389543581257e-09,-1.2058661769831397e-05
125,-9.723890917867954e-08,-9.723886399923335e-09,-1.2155900679010076e-05
126,-9.723882792767454e-08,-9.723879185611573e-09,-1.225313950693775e-05
127,-9.723876697323456e-08,-9.723874209035338e-09,-1.2350378273910985e-05
128,-9.723872125761613e-08,-9.723870042487889e-09,-1.2447616995168601e-05
129,-9.723868268042563e-08,-9.723866493597235e-09,-1.2544855677849027e-05
130,-9.723864699219505e-08,-9.723862904841774e-09,-1.2642094324841222e-05
131,-9.723860512072752e-08,-9.723858119303733e-09,-1.273933292996195e-05
132,-9.723855935729065e-08,-9.723853752154394e-09,-1.283657148931924e-05
133,-9.723851085441805e-08,-9.723848418729217e-09,-1.2933810000173657e-05
134,-9.723845742299836e-08,-9.723843065870458e-09,-1.3031048457596655e-05
135,-9.723839281830808e-08,-9.723835497791155e-09,-1.3128286850414963e-05
136,-9.723832723214072e-08,-9.723829948636988e-09,-1.3225525177647104e-05
137,-9.72382783817111e-08,-9.723825727705232e-09,-1.3322763456028816e-05
138,-9.723823903924654e-08,-9.723822080144075e-09,-1.3420001695068063e-05
139,-9.723820167595395e-08,-9.723818255046717e-09,-1.3517239896744017e-05
140,-9.723816196585734e-08,-9.72381413812475e-09,-1.3614478058709874e-05
141,-9.723812444787385e-08,-9.723810751450021e-09,-1.3711716183157747e-05
142,-9.723808268754946e-08,-9.723805786059872e-09,-1.3808954265845297e-05
143,-9.723803191903246e-08,-9.723800597746624e-09,-1.390619229776433e-05
144,-9.72379771096876e-08,-9.723794824190896e-09,-1.4003430274874017e-05
145,-9.723791717807478e-08,-9.723788611424061e-09,-1.4100668192052091e-05
146,-9.723787336523291e-08,-9.723786061622523e-09,-1.4197906065417323e-05
147,-9.723783090233673e-08,-9.723780118844821e-09,-1.429514389631966e-05
148,-9.723778144723481e-08,-9.723776170602141e-09,-1.4392381677766895e-05
149,-9.723773705026086e-08,-9.723771239450032e-09,-1.4489619414817155e-05
150,-9.723769424348656e-08,-9.72376760924728e-09,-1.4586857109060642e-05
151,-9.723765740791664e-08,-9.723763872336047e-09,-1.4684094766468558e-05
152,-9.723761894299744e-08,-9.723759916263442e-09,-1.4781332385411556e-05
153,-9.723757649505165e-08,-9.723755382746888e-09,-1.4878569961906607e-05
154,-9.723753944751119e-08,-9.72375250675535e-09,-1.4975807501354118e-05
155,-9.72375061309567e-08,-9.723748719435989e-09,-1.5073045007485075e-05
156,-9.723746215436231e-08,-9.723743711436473e-09,-1.5170282469639437e-05
157,-9.72374067139191e-08,-9.723737631347348e-09,-1.5267519876353356e-05
158,-9.723735840156849e-08,-9.723734048966352e-09,-1.5364757234754925e-05
159,-9.723730203127248e-08,-9.72372635728814e-09,-1.5461994536786197e-05
160,-9.723726027672706e-08,-9.72372569805727e-09,-1.5559231797062923e-05
161,-9.723726188766137e-08,-9.723726679475004e-09,-1.5656469058950583e-05
162,-9.72372732551595e-08,-9.723727971556894e-09,-1.5753706332205744e-05
163,-9.723727445755075e-08,-9.723726919953255e-09,-1.5850943606663295e-05
164,-9.723724503011487e-08,-9.723722086069718e-09,-1.594818085169341e-05
165,-9.723719477233511e-08,-9.723716868397302e-09,-1.6045418046465744e-05
166,-9.723715445109633e-08,-9.723714021821966e-09,-1.614265520091684e-05
167,-9.723712811623312e-08,-9.723711601424657e-09,-1.6239892329033074e-05
