i,dt_segment_s,dt_residual_s_per_s,cumulative_dt_s
1,-1.0026938060271488e-07,-1.0026933192819935e-08,-1.0026938060271488e-07
2,-1.002692578075296e-07,-1.0026918368685986e-08,-2.0053863841024448e-07
3,-1.0026916886130589e-07,-1.0026915403575193e-08,-3.008078072715504e-07
4,-1.0026905625098656e-07,-1.0026895846622119e-08,-4.0107686352253695e-07
5,-1.0026908802257471e-07,-1.0026921757892822e-08,-5.013459515451117e-07
6,-1.0026943471290967e-07,-1.0026965184689113e-08,-6.016153862580213e-07
7,-1.0027000615951386e-07,-1.0027036047213657e-08,-7.018853924175351e-07
8,-1.0027072077413076e-07,-1.0027108107612491e-08,-8.021561131916658e-07
9,-1.0027163519041286e-07,-1.0027218930470081e-08,-9.024277483820787e-07
10,-1.002728929887901e-07,-1.002735966728794e-08,-1.0027006413708688e-06
11,-1.0027441198945097e-07,-1.0027522730602255e-08,-1.1029750533603197e-06
12,-1.0027577768198753e-07,-1.002763280579525e-08,-1.2032508310423072e-06
13,-1.0027679763340343e-07,-1.0027726720885435e-08,-1.3035276286757105e-06
14,-1.0027752250057947e-07,-1.002777777923046e-08,-1.40380515117629e-06
15,-1.0027804261751694e-07,-1.0027830744272928e-08,-1.504083193793807e-06
16,-1.0027843932859653e-07,-1.0027857121446378e-08,-1.6043616331224034e-06
17,-1.0027861485057786e-07,-1.0027865848669192e-08,-1.7046402479729812e-06
18,-1.0027865932100733e-07,-1.0027866015532272e-08,-1.8049189072939886e-06
19,-1.002786175424286e-07,-1.0027857492953448e-08,-1.9051975248364172e-06
20,-1.0027846830777879e-07,-1.0027836168602306e-08,-2.005475993144196e-06
21,-1.0027823875392941e-07,-1.0027811582183575e-08,-2.1057542318981255e-06
22,-1.0027788261819947e-07,-1.0027764941456315e-08,-2.206032114516325e-06
23,-1.002770491461767e-07,-1.0027644887779025e-08,-2.3063091636625015e-06
24,-1.0027552998387164e-07,-1.0027461108995302e-08,-2.406584693646373e-06
25,-1.0027353196567453e-07,-1.0027245284139604e-08,-2.506858225612048e-06
26,-1.0027143665617181e-07,-1.0027042047094758e-08,-2.6071296622682196e-06
27,-1.0026983380598774e-07,-1.002692471410279e-08,-2.7073994960742073e-06
28,-1.002689901863346e-07,-1.002687332316413e-08,-2.807668486260542e-06
29,-1.0026885283486171e-07,-1.0026897243808211e-08,-2.9079373390954036e-06
30,-1.0026916574728476e-07,-1.0026935905648739e-08,-3.0082065048426882e-06
31,-1.0026963575555401e-07,-1.0026991245462063e-08,-3.1084761405982422e-06
32,-1.0026989124776745e-07,-1.0026987004091429e-08,-3.20874603184601e-06
33,-1.0026990517220067e-07,-1.0026994030348707e-08,-3.3090159370182105e-06
34,-1.0027011557290718e-07,-1.0027029084232729e-08,-3.4092860525911175e-06
35,-1.0027043597090199e-07,-1.002705810994767e-08,-3.5095564885620194e-06
36,-1.0027035049434977e-07,-1.0027011988922285e-08,-3.6098268390563694e-06
37,-1.0026998327781789e-07,-1.0026984666641294e-08,-3.7100968223341875e-06
38,-1.0026977087525644e-07,-1.0026969508409993e-08,-3.810366593209444e-06
39,-1.0026964418404058e-07,-1.0026959328398124e-08,-3.9106362373934844e-06
40,-1.0026956454794439e-07,-1.0026953581190753e-08,-4.010905801941429e-06
41,-1.0026938862560161e-07,-1.0026924143929569e-08,-4.111175190567031e-06
42,-1.0026930267958832e-07,-1.0026936391988096e-08,-4.211444493246619e-06
43,-1.0026945629018303e-07,-1.0026954866048512e-08,-4.311713949536802e-06
44,-1.0026966636725479e-07,-1.0026978407402448e-08,-4.411983615904057e-06
45,-1.002697012628038e-07,-1.0026961845158311e-08,-4.51225331716686e-06
46,-1.0026956646071404e-07,-1.0026951446984498e-08,-4.612522883627575e-06
47,-1.0026942139113102e-07,-1.0026932831241706e-08,-4.712792305018705e-06
48,-1.0026936749231023e-07,-1.002694066722034e-08,-4.813061672511015e-06
49,-1.0026923403579809e-07,-1.0026906139939277e-08,-4.913330906546813e-06
50,-1.0026901818554389e-07,-1.0026897497169502e-08,-5.013599924732357e-06
51,-1.0026894354123063e-07,-1.0026891211076624e-08,-5.113868868273588e-06
52,-1.0026898362939334e-07,-1.0026905514802044e-08,-5.214137851902981e-06
53,-1.002688750492084e-07,-1.0026869495039635e-08,-5.31440672695219e-06
54,-1.0026861997723159e-07,-1.0026854500406683e-08,-5.4146753469294215e-06
55,-1.0026848909392524e-07,-1.0026843318378367e-08,-5.5149438360233465e-06
56,-1.0026850105114413e-07,-1.0026856891850456e-08,-5.615212337074491e-06
57,-1.0026844757522385e-07,-1.002683262319431e-08,-5.715480784649714e-06
58,-1.0026828074977966e-07,-1.0026823526761622e-08,-5.815749065399494e-06
59,-1.0026823319564925e-07,-1.0026823112368227e-08,-5.916017298595144e-06
60,-1.0026837727354337e-07,-1.0026852342340446e-08,-6.016285675868687e-06
61,-1.0026843761224631e-07,-1.0026835180108816e-08,-6.116554113480933e-06
62,-1.0026835109746192e-07,-1.0026835039383571e-08,-6.216822464578395e-06
63,-1.0026834124300135e-07,-1.00268332092167e-08,-6.317090805821396e-06
64,-1.0026837472832773e-07,-1.0026841736448842e-08,-6.417359180549724e-06
65,-1.0026832511993604e-07,-1.0026823287538365e-08,-6.51762750566966e-06
66,-1.0026824261516865e-07,-1.0026825235495362e-08,-6.617895748284829e-06
67,-1.0026833708618237e-07,-1.0026842181741112e-08,-6.718164085371012e-06
68,-1.0026837741610193e-07,-1.0026833301479273e-08,-6.818432462787114e-06
69,-1.0026829378673672e-07,-1.002682545586807e-08,-6.9187007565738506e-06
70,-1.0026831095322604e-07,-1.002683673477714e-08,-7.018969067527076e-06
71,-1.0026836476498658e-07,-1.0026836218220177e-08,-7.119237432292063e-06
72,-1.0026828054926526e-07,-1.0026819891632874e-08,-7.219505712841328e-06
73,-1.0026815401737239e-07,-1.0026810911841605e-08,-7.3197738668587005e-06
74,-1.00268076580781e-07,-1.0026804404314594e-08,-7.420041943439482e-06
75,-1.0026786241658168e-07,-1.0026768079001742e-08,-7.520309805856064e-06
76,-1.0026762220651591e-07,-1.0026756362301442e-08,-7.62057742806258e-06
77,-1.0026764748651293e-07,-1.0026773135001145e-08,-7.720845075549093e-06
78,-1.0026757924763009e-07,-1.0026742714524871e-08,-7.821112654796724e-06
79,-1.0026736427935712e-07,-1.0026730141346554e-08,-7.921380019076082e-06
80,-1.002673129936458e-07,-1.0026732457382606e-08,-8.021647332069727e-06
81,-1.0026721997723621e-07,-1.0026711538064635e-08,-8.121914552046963e-06
82,-1.0026703431162691e-07,-1.0026695324260749e-08,-8.22218158635859e-06
