body,phi_J_per_kg,r_m,phi_shifted
sun,-190769664366.82477,695700000.0,0.0
mercury,-2018317872.332373,65756963915.020096,188751346494.4924
venus,-1233290466.8671885,107613298785.26683,189536373899.95758
earth,-891962467.4371256,148793766941.046,189877701899.38763
mars,-586670989.8991722,226222972986.63013,190182993376.9256
jupiter,-171037803.10648447,775959776666.2865,190598626563.7183
saturn,-92997849.9307215,1427113160130.7798,190676666516.89404
uranus,-45490706.39557439,2917485042899.04,190724173660.4292
neptune,-29684518.76469781,4470965372624.968,190739979848.06006
