i,dt_segment_s,dt_residual_s_per_s,cumulative_dt_s
93,-9.817017237201671e-08,-9.817028251415314e-09,-9.129810283279445e-06
94,-9.81708805404409e-08,-9.817147856672865e-09,-9.227981163819885e-06
95,-9.817232103182979e-08,-9.81731634969309e-09,-9.326153484851715e-06
96,-9.817331807423203e-08,-9.817347265153317e-09,-9.424326802925948e-06
97,-9.817332838297791e-08,-9.817318411442265e-09,-9.522500131308925e-06
98,-9.817315776167185e-08,-9.817313140892107e-09,-9.620673289070597e-06
99,-9.817317845797058e-08,-9.817322550702009e-09,-9.718846467528568e-06
100,-9.817320710494823e-08,-9.81731887028764e-09,-9.817019674633516e-06
101,-9.817311334893064e-08,-9.817303799498492e-09,-9.915192787982446e-06
102,-9.817302734916065e-08,-9.817301670333635e-09,-1.0013365815331607e-05
103,-9.817297434708214e-08,-9.817293199082791e-09,-1.0111538789678688e-05
104,-9.817286715691052e-08,-9.817280232299313e-09,-1.0209711656835599e-05
105,-9.81727240881089e-08,-9.817264585322467e-09,-1.0307884380923708e-05
106,-9.817265810153117e-08,-9.817267034983768e-09,-1.0406057039025238e-05
107,-9.817264829565115e-08,-9.817262624146461e-09,-1.050422968732089e-05
108,-9.817256692906412e-08,-9.817250761666364e-09,-1.0602402254249954e-05
109,-9.8172512458565e-08,-9.817251730046636e-09,-1.070057476670852e-05
110,-9.817252520537141e-08,-9.817253311027647e-09,-1.079874729191389e-05
111,-9.817249592732692e-08,-9.817245874437737e-09,-1.0896919787841217e-05
112,-9.817242346213002e-08,-9.817238817988266e-09,-1.0995092211303347e-05
113,-9.81724629248221e-08,-9.817253766976157e-09,-1.109326467422817e-05
114,-9.817258175768359e-08,-9.81726258456056e-09,-1.1191437255985853e-05
115,-9.817262653186796e-08,-9.81726272181303e-09,-1.1289609882517721e-05
116,-9.817268408044637e-08,-9.817274094276245e-09,-1.1387782566598167e-05
117,-9.817279568552106e-08,-9.817285042827969e-09,-1.1485955362283688e-05
118,-9.817286604228122e-08,-9.817288165628275e-09,-1.1584128228325969e-05
119,-9.817260633831502e-08,-9.817233102034728e-09,-1.1682300834664284e-05
120,-9.817164450904954e-08,-9.817095799775181e-09,-1.1780472479173333e-05
121,-9.816982935400363e-08,-9.816870071025543e-09,-1.1878642308527336e-05
122,-9.816759849318077e-08,-9.816649627610611e-09,-1.1976809907020517e-05
123,-9.816543087853031e-08,-9.816436548095452e-09,-1.2074975337899048e-05
124,-9.816349196505488e-08,-9.816261844915524e-09,-1.2173138829864102e-05
125,-9.816178149899394e-08,-9.816094454883264e-09,-1.2271300611363096e-05
126,-9.816039353069769e-08,-9.815984251256275e-09,-1.2369461004893795e-05
127,-9.81595354601695e-08,-9.815922840777625e-09,-1.2467620540353964e-05
128,-9.815906855199738e-08,-9.815890869621848e-09,-1.2565779608905962e-05
129,-9.815881971611661e-08,-9.815873073601475e-09,-1.2663938428622078e-05
130,-9.815866276966847e-08,-9.815859480332219e-09,-1.2762097091391746e-05
131,-9.815856292739215e-08,-9.815853105146213e-09,-1.2860255654319138e-05
132,-9.815848931209055e-08,-9.815844757271895e-09,-1.2958414143631229e-05
133,-9.815842885299666e-08,-9.815841013327435e-09,-1.3056572572484226e-05
134,-9.815842301784608e-08,-9.815843590241782e-09,-1.3154730995502071e-05
135,-9.815843205244397e-08,-9.815842820247015e-09,-1.3252889427554515e-05
136,-9.815843417412762e-08,-9.815844014578509e-09,-1.3351047861728642e-05
137,-9.815843675708979e-08,-9.815843336839448e-09,-1.3449206298485732e-05
138,-9.815842541967145e-08,-9.815841747094844e-09,-1.3547364723905404e-05
139,-9.815839594637422e-08,-9.815837442179999e-09,-1.3645523119851779e-05
140,-9.815840196616127e-08,-9.815842951052255e-09,-1.374368152181794e-05
141,-9.815867714242018e-08,-9.815892477431779e-09,-1.384184019896036e-05
142,-9.815952946863126e-08,-9.816013416294473e-09,-1.3939999728428991e-05
143,-9.816096122160896e-08,-9.816178828027317e-09,-1.40381606896506e-05
144,-9.816275650928005e-08,-9.816372473828693e-09,-1.413632344615988e-05
145,-9.816464834303737e-08,-9.81655719477878e-09,-1.4234488094502918e-05
146,-9.816622182617106e-08,-9.81668717045543e-09,-1.4332654316329089e-05
147,-9.816707958976967e-08,-9.816728747498505e-09,-1.443082139591886e-05
148,-9.816732369312714e-08,-9.816735991126924e-09,-1.4528988719611987e-05
149,-9.816743844643145e-08,-9.816751698159367e-09,-1.4627156158058419e-05
150,-9.816758972167493e-08,-9.816766246175618e-09,-1.4725323747780094e-05
151,-9.816769237053516e-08,-9.816772227931416e-09,-1.4823491440150629e-05
152,-9.8167742535433e-08,-9.816776279155187e-09,-1.4921659182686061e-05
153,-9.816777498783514e-08,-9.81677871841184e-09,-1.5019826957673896e-05
154,-9.816779259852788e-08,-9.816779801293734e-09,-1.5117994750272423e-05
155,-9.816779625089368e-08,-9.816779448885003e-09,-1.5216162546523318e-05
156,-9.816780345907164e-08,-9.816781242929326e-09,-1.5314330349982388e-05
157,-9.816780893890926e-08,-9.816780544852524e-09,-1.5412498158921297e-05
158,-9.816780347232877e-08,-9.81678014961323e-09,-1.5510665962393625e-05
159,-9.816779842620687e-08,-9.816779535628145e-09,-1.5608833760819832e-05
160,-9.816778666995587e-08,-9.816777798363028e-09,-1.5707001547489788e-05
161,-9.816777416432157e-08,-9.81677703450129e-09,-1.580516932165411e-05
162,-9.816777483358794e-08,-9.816777932216297e-09,-1.5903337096487697e-05
163,-9.816778253893191e-08,-9.816778575570084e-09,-1.600150487902663e-05
164,-9.816778067954419e-08,-9.816777560338752e-09,-1.6099672659706174e-05
165,-9.816777365695024e-08,-9.816777171051294e-09,-1.6197840433363125e-05
166,-9.816777247698453e-08,-9.816777324345611e-09,-1.629600820584011e-05
167,-9.816777373482725e-08,-9.816777422619839e-09,-1.6394175979574936e-05
168,-9.816777461760371e-08,-9.816777500900904e-09,-1.649234375419254e-05
169,-9.8167779808086e-08,-9.816778460716298e-09,-1.659051153400063e-05
170,-9.816778738349203e-08,-9.816779015982107e-09,-1.668867932138412e-05
171,-9.816778884143159e-08,-9.816778752304212e-09,-1.6786847110225555e-05
172,-9.816778171110524e-08,-9.816777589916835e-09,-1.688501489193666e-05
173,-9.816778110809535e-08,-9.816778631702236e-09,-1.6983182673044758e-05
174,-9.816779929802499e-08,-9.816781227902763e-09,-1.7081350472342782e-05
175,-9.816780871485327e-08,-9.816780515067891e-09,-1.7179518281057634e-05
176,-9.81677948260976e-08,-9.816778450151628e-09,-1.727768607588373e-05
177,-9.816779498183173e-08,-9.816780546214717e-09,-1.7375853870865563e-05
178,-9.816780478772893e-08,-9.816780411331068e-09,-1.7474021675653293e-05
179,-9.81677931662901e-08,-9.816778221926953e-09,-1.7572189468819584e-05
180,-9.816777765345052e-08,-9.816777308763153e-09,-1.7670357246473034e-05
181,-9.81677778730394e-08,-9.816778265844726e-09,-1.7768525024346074e-05
182,-9.816778305813938e-08,-9.81677834578315e-09,-1.7866692807404214e-05
183,-9.816777940322824e-08,-9.816777534862494e-09,-1.7964860586807443e-05
184,-9.816777147698174e-08,-9.816776760533854e-09,-1.8063028358284426e-05
185,-9.816777333745572e-08,-9.816777906957289e-09,-1.8161196131621883e-05
186,-9.816778465849178e-08,-9.81677902474107e-09,-1.8259363916280376e-05
187,-9.816778314424581e-08,-9.816777604108091e-09,-1.8357531699424622e-05
188,-9.816777047183438e-08,-9.816776490258781e-09,-1.8455699469896455e-05
189,-9.816776542700649e-08,-9.816776595142517e-09,-1.855386723532346e-05
190,-9.816776876105962e-08,-9.816777157069409e-09,-1.865203500408452e-05
191,-9.81677662516089e-08,-9.816776093252371e-09,-1.875020277033613e-05
192,-9.816775715508917e-08,-9.816775337765463e-09,-1.884837052749122e-05
193,-9.816775632240795e-08,-9.816775926716126e-09,-1.894653828381363e-05
194,-9.816776590942381e-08,-9.816777255168635e-09,-1.9044706049723054e-05
195,-9.816777678805173e-08,-9.816778102441708e-09,-1.9142873826511106e-05
196,-9.816777945432619e-08,-9.81677778842353e-09,-1.9241041605965432e-05
197,-9.816777385121645e-08,-9.81677698181976e-09,-1.933920937981665e-05
198,-9.816776657608841e-08,-9.816776333397921e-09,-1.9437377146392736e-05
199,-9.816776940556227e-08,-9.816777547714534e-09,-1.9535544915798297e-05
200,-9.816778035981148e-08,-9.81677852424776e-09,-1.9633712696158108e-05
201,-9.816778479349408e-08,-9.816778434451055e-09,-1.97318804809516e-05
