body,phi_J_per_kg,r_m,phi_shifted
sun,-190769664366.82477,695700000.0,0.0
mercury,-2033521685.057441,65265325900.004395,188736142681.76733
venus,-1233170942.2350528,107623729163.98375,189536493424.58972
earth,-892172755.806606,148758695707.99695,189877491611.01816
mars,-587102724.5041376,226056616603.32602,190182561642.32062
jupiter,-171027586.08309853,776006131756.5168,190598636780.74167
saturn,-93000406.18287842,1427073933838.7292,190676663960.64188
uranus,-45491054.04063241,2917462747322.945,190724173312.78415
neptune,-29684540.510601964,4470962097344.879,190739979826.31418
